model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260728,0.9548611111111112,0.9485714285714286,0.955005787037037,120,6,1
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260729,0.9375,0.9238095238095239,0.9269386574074074,120,6,1
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260730,0.8888888888888888,0.8660714285714286,0.8940972222222222,120,6,1
random_forest,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260731,0.8511904761904762,0.8654128202916056,0.9723875661375662,120,7,1
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,all_held_out_predictions,0.9326628352490421,0.9245015493401734,0.9554278416347382,888,45,11
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260715,0.9583333333333333,0.9582608695652174,1.0,24,1,1
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260717,0.9583333333333333,0.9582608695652174,1.0,24,1,1
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260720,1.0,1.0,1.0,24,1,1
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260721,1.0,1.0,1.0,36,2,1
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260723,0.9722222222222222,0.96896254430501,0.9918981481481481,108,6,1
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260724,0.8854166666666667,0.8838922484881804,0.9995659722222222,96,4,1
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260727,0.9333333333333333,0.9142857142857144,0.9273148148148148,96,5,1
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260728,0.9652777777777778,0.9572619132416839,0.9733796296296297,120,6,1
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260729,0.9375,0.9238095238095239,0.9618055555555556,120,6,1
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260730,0.8888888888888888,0.8660714285714286,0.8862847222222222,120,6,1
