experiment_id,evaluable,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,model,camera_group,modality,regret_threshold
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,rbf_svm,left_close,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,rbf_svm,left_close,rgb,0.01
exp_20260723,True,0.8194444444444444,0.8416422287390029,0.970679012345679,0.005960098873220584,108,6,rbf_svm,left_close,rgb,0.01
exp_20260724,True,0.8333333333333333,0.8321678321678322,0.9483506944444444,0.003163749991669625,96,4,rbf_svm,left_close,rgb,0.01
exp_20260727,True,0.925,0.9039039039039038,0.9467592592592593,0.0008730975026837629,96,5,rbf_svm,left_close,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9583333333333334,0.00039383945755213875,120,6,rbf_svm,left_close,rgb,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.935474537037037,0.0014014032742416832,120,6,rbf_svm,left_close,rgb,0.01
exp_20260730,True,0.8888888888888888,0.8660714285714286,0.8544560185185185,0.0027711139859976355,120,6,rbf_svm,left_close,rgb,0.01
exp_20260731,True,0.8028455284552845,0.8195231668915879,0.9542682926829269,0.006316158274553866,118,7,rbf_svm,left_close,rgb,0.01
exp_20260715,True,0.9583333333333333,0.9582608695652174,0.9791666666666666,0.0004217722526858483,24,1,hist_gradient_boosting,left_close,rgb,0.01
exp_20260717,True,1.0,1.0,1.0,0.0,24,1,hist_gradient_boosting,left_close,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,hist_gradient_boosting,left_close,rgb,0.01
exp_20260721,True,0.9583333333333333,0.9680567879325643,1.0,0.004455804241791729,36,2,hist_gradient_boosting,left_close,rgb,0.01
exp_20260723,True,0.9722222222222222,0.9593984962406015,0.9934413580246914,0.00041011018852286587,108,6,hist_gradient_boosting,left_close,rgb,0.01
exp_20260724,True,0.9583333333333333,0.9582608695652174,0.9691840277777778,0.0007542811680861617,96,4,hist_gradient_boosting,left_close,rgb,0.01
exp_20260727,True,0.9194444444444445,0.9032149658339867,0.9111111111111112,0.001015895666376447,96,5,hist_gradient_boosting,left_close,rgb,0.01
exp_20260728,True,0.8819444444444444,0.8858898398068905,0.9490740740740741,0.0015687455061204206,120,6,hist_gradient_boosting,left_close,rgb,0.01
exp_20260729,True,0.9340277777777777,0.9234639642831833,0.9670138888888888,0.0014063382181724235,120,6,hist_gradient_boosting,left_close,rgb,0.01
exp_20260730,True,0.8611111111111112,0.8546905050217252,0.9331597222222221,0.0029076309172699306,120,6,hist_gradient_boosting,left_close,rgb,0.01
exp_20260731,True,0.7726964769647696,0.6917271407837445,0.7217140921409215,0.004831993664623511,118,7,hist_gradient_boosting,left_close,rgb,0.01
exp_20260715,True,1.0,1.0,1.0,0.0,24,1,mlp,left_close,rgb,0.01
exp_20260717,True,1.0,1.0,1.0,0.0,24,1,mlp,left_close,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,mlp,left_close,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,mlp,left_close,rgb,0.01
exp_20260723,True,0.8819444444444444,0.8375652481642042,0.9814814814814815,0.006515187141053483,108,6,mlp,left_close,rgb,0.01
exp_20260724,True,0.9166666666666667,0.916083916083916,0.993923611111111,0.0017310102552548854,96,4,mlp,left_close,rgb,0.01
exp_20260727,True,0.9333333333333333,0.9142857142857144,0.9569444444444445,0.000788254753615264,96,5,mlp,left_close,rgb,0.01
exp_20260728,True,0.9652777777777778,0.9572619132416839,0.9644097222222222,0.00039383945755213875,120,6,mlp,left_close,rgb,0.01
exp_20260729,True,0.9375,0.9238095238095239,0.921875,0.0014014032742416832,120,6,mlp,left_close,rgb,0.01
exp_20260730,True,0.8819444444444444,0.8578496272036792,0.9137731481481481,0.0030190336602429323,120,6,mlp,left_close,rgb,0.01
exp_20260731,True,0.774390243902439,0.6846059380192155,0.682249322493225,0.004979596019812607,118,7,mlp,left_close,rgb,0.01
exp_20260715,True,1.0,1.0,1.0,0.0,24,1,logistic,front,rgb,0.01
exp_20260717,True,0.9583333333333333,0.9582608695652174,1.0,0.00042041143510616083,24,1,logistic,front,rgb,0.01
exp_20260720,True,1.0,1.0,1.0,0.0,24,1,logistic,front,rgb,0.01
exp_20260721,True,1.0,1.0,1.0,0.0,36,2,logistic,front,rgb,0.01
exp_20260723,True,0.9652777777777778,0.9588884659307195,0.9965277777777777,0.00035502652536986104,108,6,logistic,front,rgb,0.01
exp_20260724,True,1.0,1.0,1.0,0.0,95,4,logistic,front,rgb,0.01
exp_20260727,True,0.9333333333333333,0.9142857142857144,0.9694444444444444,0.000788254753615264,96,5,logistic,front,rgb,0.01
