model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
rbf_svm,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_accuracy,0.9399259918461724,0.9139423318273091,0.9654703282828282,11,11
rbf_svm,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,macro_f1,0.9343897253649907,0.9060733609799763,0.9624750384643488,11,11
rbf_svm,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,auroc,0.9638217669710829,0.9416934208186915,0.9833706071259997,11,11
rbf_svm,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_misclassification_regret,0.001336071623885011,0.0006040971498194915,0.002121035061850235,11,11
hist_gradient_boosting,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_accuracy,0.9385340604843617,0.9059465608646711,0.9655942234848484,11,11
hist_gradient_boosting,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,macro_f1,0.9316609448843924,0.8943157567386262,0.9627181494593106,11,11
hist_gradient_boosting,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,auroc,0.9622188617686231,0.9383838011452376,0.985120300224467,11,11
hist_gradient_boosting,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_misclassification_regret,0.0013164465599188144,0.0006516604064136905,0.0020838094959110876,11,11
mlp,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_accuracy,0.9189082085919434,0.8669759815778266,0.9599124053030303,11,11
mlp,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,macro_f1,0.9049830605214045,0.846989955554519,0.9528520846174509,11,11
mlp,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,auroc,0.9656870458475314,0.9388380542371507,0.9888558435921716,11,11
mlp,left_pair,pooled_views,rgb,0.01,1.0,0.6534812587485095,balanced_misclassification_regret,0.00215710421022342,0.0007028954439795688,0.004349164848971795,11,11
logistic,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_accuracy,0.936799360562037,0.9009346371020356,0.9673981051040711,11,11
logistic,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,macro_f1,0.9269108918004562,0.8897272624771818,0.9616496605751093,11,11
logistic,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,auroc,0.953275809564009,0.9173063386659612,0.9823904911515194,11,11
logistic,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_misclassification_regret,0.0016577692593546418,0.000497879257948826,0.003365599035686148,11,11
random_forest,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_accuracy,0.9472035747429627,0.9259623150343224,0.9675850815249865,11,11
random_forest,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,macro_f1,0.9377101041434174,0.9125122664102079,0.9621294778067633,11,11
random_forest,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,auroc,0.9685755639850331,0.953458538373685,0.9835492354632694,11,11
random_forest,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_misclassification_regret,0.001154308838836395,0.0005551287890409566,0.0018453547858533921,11,11
rbf_svm,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_accuracy,0.9506936060471916,0.9301756871923083,0.9707807239057239,11,11
rbf_svm,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,macro_f1,0.9389933766493218,0.9122559193575505,0.9649979129883897,11,11
rbf_svm,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,auroc,0.962582219946016,0.9411739465107677,0.9836962593940085,11,11
rbf_svm,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_misclassification_regret,0.0009692781143382724,0.0004682929019903351,0.0015255560643191953,11,11
hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_accuracy,0.9363998657954653,0.9111474076909383,0.9603864114631159,11,11
hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,macro_f1,0.9289176999613544,0.8998448212931074,0.9566075374049253,11,11
hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,auroc,0.9631721492949289,0.943864749554587,0.9822399523964391,11,11
hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_misclassification_regret,0.0014059743900702983,0.0007352497375086193,0.002173207415168324,11,11
mlp,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_accuracy,0.9383220599390012,0.9131086508724819,0.9620037595257172,11,11
mlp,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,macro_f1,0.9280304955195846,0.9001710168977413,0.9558885026564359,11,11
mlp,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,auroc,0.9642164185322728,0.9451816763733274,0.9834106074268126,11,11
mlp,all,pooled_views,rgb,0.01,1.0,0.6560571897995211,balanced_misclassification_regret,0.0015647134140678717,0.0007256461388531842,0.0026976709968761776,11,11
