camera_group,representation,model,training_experiment_count,metric,estimate,lower,upper,held_out_experiment_count
extreme,handcrafted,hist_gradient_boosting,6,auroc,0.9583721432245735,0.9415979972718255,0.9759398136665933,10
extreme,handcrafted,hist_gradient_boosting,6,balanced_misclassification_regret,0.003652505252296886,0.0011609822358968906,0.006819197023893767,10
extreme,handcrafted,hist_gradient_boosting,6,fit_predict_seconds,1.990650768035751,1.7377043856320962,2.3427031129261255,10
extreme,handcrafted,hist_gradient_boosting,6,training_cycle_count,22.8,21.6,23.866666666666664,10
extreme,handcrafted,hist_gradient_boosting,6,training_image_count,441.6,420.39,460.4,10
extreme,handcrafted,hist_gradient_boosting,8,balanced_accuracy,0.8791633597883598,0.8067534722222223,0.9404564318783069,10
extreme,handcrafted,hist_gradient_boosting,8,macro_f1,0.864789300186445,0.7791168094648313,0.9344608520545703,10
extreme,handcrafted,hist_gradient_boosting,8,auroc,0.969838697824809,0.9548144381981187,0.9851868501065549,10
extreme,handcrafted,hist_gradient_boosting,8,balanced_misclassification_regret,0.004190237798260977,0.0010702434524412366,0.00847518984096927,10
extreme,handcrafted,hist_gradient_boosting,8,fit_predict_seconds,2.687219372265584,2.309578509215498,3.0760029650254483,10
extreme,handcrafted,hist_gradient_boosting,8,training_cycle_count,30.96666666666666,29.46666666666667,32.60000000000001,10
extreme,handcrafted,hist_gradient_boosting,8,training_image_count,598.8,569.6,631.2,10
extreme,handcrafted,hist_gradient_boosting,10,balanced_accuracy,0.8808333333333334,0.8100694444444445,0.9412569444444443,10
extreme,handcrafted,hist_gradient_boosting,10,macro_f1,0.8703680920054868,0.7935407149476948,0.9340044528372703,10
extreme,handcrafted,hist_gradient_boosting,10,auroc,0.9716087962962963,0.9543747106481482,0.988912181712963,10
extreme,handcrafted,hist_gradient_boosting,10,balanced_misclassification_regret,0.00412127769539222,0.0010761198104088582,0.008067687614939131,10
extreme,handcrafted,hist_gradient_boosting,10,fit_predict_seconds,3.061126679202425,2.692196135418053,3.4826504628236576,10
extreme,handcrafted,hist_gradient_boosting,10,training_cycle_count,39.6,38.4,41.0,10
extreme,handcrafted,hist_gradient_boosting,10,training_image_count,766.8,744.0,792.0,10
extreme,handcrafted,logistic,2,balanced_accuracy,0.8441402116402117,0.7751796461640212,0.9035844080687829,10
extreme,handcrafted,logistic,2,macro_f1,0.8272033017774454,0.7445256556880923,0.8960193758536827,10
extreme,handcrafted,logistic,2,auroc,0.9609600970017637,0.9425730957892418,0.9789852292768959,10
extreme,handcrafted,logistic,2,balanced_misclassification_regret,0.005679583042134392,0.0017970815987907738,0.010913620235465969,10
extreme,handcrafted,logistic,2,fit_predict_seconds,0.01188729993494538,0.01127780858039235,0.012485542558473147,10
extreme,handcrafted,logistic,2,training_cycle_count,8.466666666666667,7.666666666666667,9.333333333333332,10
extreme,handcrafted,logistic,2,training_image_count,161.6,146.8,177.6,10
extreme,handcrafted,logistic,4,balanced_accuracy,0.859596560846561,0.7838645006613756,0.9208517691798942,10
extreme,handcrafted,logistic,4,macro_f1,0.8403660881572061,0.7441289468183817,0.9134659769343866,10
extreme,handcrafted,logistic,4,auroc,0.9650725676072899,0.9449549231150793,0.9843909028696354,10
extreme,handcrafted,logistic,4,balanced_misclassification_regret,0.00466160404720216,0.0013647785639565454,0.00945656960173595,10
extreme,handcrafted,logistic,4,fit_predict_seconds,0.011791486166960869,0.010863047721868496,0.012991823864455606,10
extreme,handcrafted,logistic,4,training_cycle_count,13.7,12.466666666666667,15.233333333333334,10
