representation,model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
mobilenet_v3_small,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9167906154871814,0.8929490262977038,0.9396657789664933,14,12
mobilenet_v3_small,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0034973365604652356,0.002538567376995079,0.004676947714370506,14,12
mobilenet_v3_small,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7557525412318095,0.7224049877359251,0.7885884824561539,14,12
mobilenet_v3_small,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7566040877657453,0.7233853820967412,0.7888922726621622,14,12
mobilenet_v3_small,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9015862568431041,0.8725533013909301,0.9282349277211195,14,12
mobilenet_v3_small,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0064524523075990175,0.004219560687633845,0.00906504855039598,14,12
repvit_m0_9,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.787279527054161,0.7428025474903649,0.8309055064502767,14,12
repvit_m0_9,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7858807772903972,0.7404294753078244,0.8302208065940114,14,12
repvit_m0_9,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9154478313692961,0.8849990743077292,0.9433811764298382,14,12
repvit_m0_9,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.005283673172388685,0.0024441612060981943,0.009950068017364876,14,12
repvit_m0_9,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8149382369975994,0.7807598954840204,0.8471221885055381,14,12
repvit_m0_9,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8097091440901557,0.7722470818352682,0.8447147679640663,14,12
repvit_m0_9,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9378134824034273,0.9178645901133868,0.9557075204529198,14,12
repvit_m0_9,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.00268690558171448,0.0018344940137936152,0.0038014581244784256,14,12
repvit_m0_9,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8117966729428124,0.7754675144652263,0.847713717631499,14,12
repvit_m0_9,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8089387924285155,0.7711569866796604,0.8459053903704964,14,12
repvit_m0_9,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9247365238902273,0.9038697481676226,0.9456738362384431,14,12
repvit_m0_9,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.003121607455280156,0.0020453353764859216,0.004233610071295541,14,12
repvit_m0_9,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8094707680757421,0.7752861983413677,0.8440971924913133,14,12
repvit_m0_9,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8059174632290551,0.7690666953106112,0.8424180402092803,14,12
repvit_m0_9,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.93459847622346,0.9143797211191227,0.9534681948634752,14,12
repvit_m0_9,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0028677635623604383,0.0019241554383679822,0.004106776898969912,14,12
repvit_m0_9,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7878555845641367,0.7505444183835537,0.8276340608468116,14,12
repvit_m0_9,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7839076513823896,0.7452327375426214,0.8247445650942781,14,12
repvit_m0_9,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9177525485022344,0.8952723616471576,0.9407764698003459,14,12
repvit_m0_9,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.004129580952900161,0.0026696324724199355,0.005946287281625244,14,12
repvit_m0_9,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7770452685787738,0.7407028870674395,0.8135537361877713,14,12
repvit_m0_9,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7764956043393528,0.7398847206334312,0.8134007451414292,14,12
repvit_m0_9,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9180176529538153,0.8936332680812005,0.9424546188260555,14,12
repvit_m0_9,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.006114251786107035,0.0037873645121355402,0.009644666534038396,14,12
convnext_tiny,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7604407302129115,0.7238850283363724,0.7972903020824099,14,12
convnext_tiny,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7597059811392309,0.7249395290280035,0.7957335163902512,14,12
convnext_tiny,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.8979933924409544,0.8742722532964935,0.9223183946601965,14,12
convnext_tiny,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.004818490984401105,0.003205831697845686,0.006726704638696469,14,12
convnext_tiny,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.817511193785364,0.7861901760908357,0.8460210784411384,14,12
convnext_tiny,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8118554746111846,0.7754719303054052,0.844327657402635,14,12
convnext_tiny,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9386538727949318,0.919677141578975,0.9566033434907438,14,12
convnext_tiny,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.002232176761856849,0.0017837099802654687,0.0026642501696504993,14,12
convnext_tiny,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.814147388388443,0.7831616476947678,0.8476029915731436,14,12
convnext_tiny,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8118840733065941,0.779900390185822,0.845810202010835,14,12
convnext_tiny,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9268459959075434,0.9080626225952177,0.9463722737151292,14,12
convnext_tiny,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0028448722110266983,0.0019826592398491587,0.0038367575991068693,14,12
convnext_tiny,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8089119974005626,0.7789656812619713,0.8389187048934055,14,12
convnext_tiny,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8051081509599557,0.7720132565359482,0.8371567899221021,14,12
convnext_tiny,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9355386235878352,0.9173070202921602,0.9531037648745777,14,12
convnext_tiny,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.002952036166852159,0.002000429115840583,0.004014833801426683,14,12
convnext_tiny,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7857873162917919,0.7511569126327862,0.823899397326866,14,12
convnext_tiny,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7847900363711112,0.7510334862956929,0.82217308377394,14,12
convnext_tiny,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9167765414177834,0.8982442008211232,0.9369903826216983,14,12
convnext_tiny,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.00480999048887731,0.002588705702145967,0.007546671110467554,14,12
convnext_tiny,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7632822424345673,0.7244342380254665,0.8047969580968991,14,12
convnext_tiny,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7633494474756581,0.7248028665911731,0.8046535707073037,14,12
convnext_tiny,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9067102499047421,0.8836960995560953,0.9309062247876773,14,12
convnext_tiny,window_logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0057590982894328785,0.003937337163693239,0.008014646779766129,14,12
dinov3,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7894500284018365,0.7565093224967531,0.8240555164041141,14,12
dinov3,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.7893999935734616,0.7559795755701041,0.8239302994362093,14,12
dinov3,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9210046486763014,0.8984725518212762,0.9431491742510345,14,12
dinov3,logistic,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.004253709059989745,0.0026477110879703745,0.006271451662571713,14,12
dinov3,logistic,all,pooled_views,rgb_time,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7992338476143858,0.7576057632440235,0.8409489390612739,14,12
dinov3,logistic,all,pooled_views,rgb_time,0.01,1.0,0.8624763589025618,macro_f1,0.7986789992165974,0.7559891169826275,0.8410411837364017,14,12
dinov3,logistic,all,pooled_views,rgb_time,0.01,1.0,0.8624763589025618,auroc,0.9357590727079698,0.9161614818315896,0.9552663198758269,14,12
dinov3,logistic,all,pooled_views,rgb_time,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0034940273618332355,0.0022476523017103235,0.005009587604265354,14,12
dinov3,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8269488607368851,0.7949866410535291,0.858629030734521,14,12
