representation,model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260727,0.8210648148148149,0.8207686195159649,0.9511733049186754,4140,5,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260728,0.8441308434840007,0.8446705826187845,0.9550652898117935,4759,6,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260729,0.8535984584324813,0.8534300927162374,0.9640823185611666,4811,6,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260730,0.8013466351553928,0.8011091231494295,0.9067126158373534,3540,5,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260731,0.7108790439959272,0.7069972443095808,0.8691783232927236,4488,6,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260803,0.8367917357656163,0.8242035286374433,0.9389324052196072,4776,6,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260804,0.7815562401448796,0.7754765468215852,0.9071631383340062,5286,9,1
dinov2,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260805,0.8238407981625037,0.8233075273594209,0.9398631640519696,5004,6,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,all_held_out_predictions,0.8138655270341237,0.8131503557406924,,44631,62,14
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260715,0.8253344057270278,0.8363173240084852,,1521,3,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260717,0.8067129629629629,0.8036637370482066,,1656,2,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260720,,,,48,1,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260721,0.9417270531400965,0.9415754959390915,,852,1,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260723,,,,1560,3,1
