experiment_id,evaluable,recall_before,recall_within,recall_after,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,representation,model,camera_group,modality,regret_threshold
exp_20260715,True,0.7884892086330936,0.5677749360613811,0.7126436781609196,0.6896359409517979,0.6974966087063756,0.7845664622967418,0.017581602207265914,1521,3,efficientnet,window_logistic,all,rgb,0.01
exp_20260717,True,0.5902777777777778,0.7380952380952381,0.734375,0.687582671957672,0.6889899848306794,0.7470797470544288,0.017465687476916725,1656,2,efficientnet,window_logistic,all,rgb,0.01
exp_20260720,False,,,,,,,,48,1,efficientnet,window_logistic,all,rgb,0.01
exp_20260721,True,0.8055555555555556,0.7355072463768116,0.96875,0.8366042673107891,0.8352425621104832,0.9553864591541896,0.004611877141111385,852,1,efficientnet,window_logistic,all,rgb,0.01
exp_20260723,False,,,,,,,,1560,3,efficientnet,window_logistic,all,rgb,0.01
exp_20260724,True,0.6527777777777778,0.6840277777777778,0.5973333333333334,0.644712962962963,0.6550557941908891,0.8283625880146291,0.010981352550890439,2190,3,efficientnet,window_logistic,all,rgb,0.01
exp_20260727,True,0.73125,0.6619047619047619,0.9472222222222222,0.7801256613756614,0.7793035903189849,0.9220098502106605,0.004605083974594147,4140,5,efficientnet,window_logistic,all,rgb,0.01
exp_20260728,True,0.9216725559481743,0.8027210884353742,0.8051539912005028,0.8431825451946837,0.8440344102098551,0.9508197161370117,0.0020877241535872527,4759,6,efficientnet,window_logistic,all,rgb,0.01
exp_20260729,True,0.8856447688564477,0.7715277777777778,0.7845975680370585,0.8139233715570947,0.8135490322473945,0.9410275779306535,0.0028645035268635385,4811,6,efficientnet,window_logistic,all,rgb,0.01
exp_20260730,True,0.8193069306930693,0.6102292768959435,0.7554438860971524,0.7283266978953883,0.7280857665611536,0.8716048193433511,0.004000652094311308,3540,5,efficientnet,window_logistic,all,rgb,0.01
