representation,condition,experiment_id,cycle_name,camera_role,cosine_similarity
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,top_close,0.9891942030055584
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,top_close,0.9748857893832423
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,top_close,0.9792793833080794
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,extreme,0.9929288835791792
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,extreme,0.9931378578878327
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,extreme,0.9951152850258898
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,front,0.9915467338011252
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,front,0.9920893698977631
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,front,0.9912708648419265
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,left,0.9828112234954016
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,left,0.9789849913173431
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,left,0.9827535523853261
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,left_close,0.9925935216194596
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,left_close,0.9927638918587495
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,left_close,0.9930295593171014
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,top,0.9948490513126151
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,top,0.9951849917324721
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,top,0.9964666263288895
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,top_close,0.9875516689201256
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,top_close,0.9846401825649214
dinov2,dark_60pct,exp_20260730,frost_cycle_000067,top_close,0.9877873491688229
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,extreme,0.9927879247217813
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,extreme,0.9952888846997573
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,extreme,0.9929074403821926
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,front,0.990084734687222
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,front,0.9910607489020458
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,front,0.9632011872166203
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,left,0.9667825375216109
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,left,0.9714703051443049
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,left,0.9668975344392265
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,left_close,0.9914818786603314
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,left_close,0.9892187728241573
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,left_close,0.9801532207541922
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,top,0.9944836167747768
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,top,0.9955258863330372
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,top,0.9874990602459723
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,top_close,0.9841318819800124
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,top_close,0.9835791905631608
dinov2,dark_60pct,exp_20260730,frost_cycle_000068,top_close,0.9786097782801365
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,extreme,0.9921100122133458
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,extreme,0.9926336100941068
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,extreme,0.9952054906218185
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,front,0.9922492245489967
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,front,0.9911176930560265
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,front,0.9922395182057323
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,left,0.9888182294722415
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,left,0.9882152846074479
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,left,0.9875058606572615
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,left_close,0.9912129118143118
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,left_close,0.990479978462452
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,left_close,0.9914691965627853
