camera_group,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
left_close,time,0.1,0.0981941309255079,0.08392838662941116,balanced_misclassification_regret,0.006683706362687594,0.0,0.013367412725375187,8,2
left_close,rgb_time,0.1,0.0981941309255079,0.08392838662941116,balanced_accuracy,0.875,0.75,1.0,8,2
left_close,rgb_time,0.1,0.0981941309255079,0.08392838662941116,macro_f1,0.8939393939393939,0.7878787878787878,1.0,8,2
left_close,rgb_time,0.1,0.0981941309255079,0.08392838662941116,auroc,1.0,1.0,1.0,8,2
left_close,rgb_time,0.1,0.0981941309255079,0.08392838662941116,balanced_misclassification_regret,0.014781251265450223,0.0,0.029562502530900446,8,2
front,rgb,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9653138528138527,0.9420454545454546,0.9867424242424243,11,11
front,rgb,0.01,1.0,0.6626226395189366,macro_f1,0.9547274908679942,0.9251716063217095,0.982517732038232,11,11
front,rgb,0.01,1.0,0.6626226395189366,auroc,0.9671198593073593,0.9388406573172199,0.9904626623376622,11,11
front,rgb,0.01,1.0,0.6626226395189366,balanced_misclassification_regret,0.0006222413980992319,0.00018318685536814364,0.0011570865400180274,11,11
front,time,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9271013708513707,0.8861052489177489,0.9641515602453103,11,11
front,time,0.01,1.0,0.6626226395189366,macro_f1,0.9166950049021587,0.8738442192880136,0.9568962261669242,11,11
front,time,0.01,1.0,0.6626226395189366,auroc,0.9664672891955696,0.9411408536937682,0.9874764510181177,11,11
front,time,0.01,1.0,0.6626226395189366,balanced_misclassification_regret,0.0017524631474164756,0.0006004095844634107,0.0032980207735866358,11,11
front,rgb_time,0.01,1.0,0.6626226395189366,balanced_accuracy,0.9658549783549784,0.9428021284271283,0.9867455808080808,11,11
front,rgb_time,0.01,1.0,0.6626226395189366,macro_f1,0.9555016692512809,0.9265279264846988,0.9825341219283746,11,11
front,rgb_time,0.01,1.0,0.6626226395189366,auroc,0.9738999619207952,0.947785143097643,0.9925206930415265,11,11
front,rgb_time,0.01,1.0,0.6626226395189366,balanced_misclassification_regret,0.0006106645944702249,0.0001828415931522666,0.0011453727508721168,11,11
front,rgb,0.02,0.6719278466741826,0.49277349931427367,balanced_accuracy,0.9790455862265712,0.9596561112483272,0.9962894248608535,11,11
front,rgb,0.02,0.6719278466741826,0.49277349931427367,macro_f1,0.9771047827028102,0.955860831901695,0.9951735092864123,11,11
front,rgb,0.02,0.6719278466741826,0.49277349931427367,auroc,0.9876734319458778,0.9701973293304562,1.0,11,11
front,rgb,0.02,0.6719278466741826,0.49277349931427367,balanced_misclassification_regret,0.0006699136454462084,8.95328790876434e-05,0.001378752315811225,11,11
front,time,0.02,0.6719278466741826,0.49277349931427367,balanced_accuracy,0.9670658700747711,0.9341206877487838,0.9956427015250544,11,11
front,time,0.02,0.6719278466741826,0.49277349931427367,macro_f1,0.9614027763635746,0.9249835587315985,0.9932190760059613,11,11
